STT,Giới tính sinh học,Bản dạng giới,Hấp dẫn tình cảm,Đối tượng hấp dẫn tình dục,Xu hướng tính dục (lần 1),Bạn có muốn xác định rõ thêm cho xu hướng tình cảm ,Bạn có thể bắt đầu mối quan hệ tình cảm với người chưa quen biết nhiều hay không?,Bạn có thể lâu lâu có hứng bắt đầu một mối quan hệ tình cảm một lần không?,Bạn nghĩ bạn được hấp dẫn tình cảm bởi bao nhiêu giới?,"Bạn có ""mù giới"" (tức không để ý giới và giới tính của đối phương) khi bắt đầu một mối quan hệ hay không?",Bạn có muốn xác định rõ thêm cho xu hướng tình dục?,Bạn có thể quan hệ tình dục với người chưa quen biết nhiều hay không?,Bạn có thể lâu lâu có hứng quan hệ tình dục một lần không?,Bạn nghĩ bạn được hấp dẫn tình dục bởi bao nhiêu giới?,"Bạn có ""mù giới"" (tức không để ý giới và giới tính của đối phương) khi quan hệ tình dục hay không?",Xu hướng tính dục
1,Nam ,Nam,Không,Không,Vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Á tính
2,Nam ,Nam,Không,Không,Vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Vô tính
3,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Bán vô tính
4,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Bán vô tính
5,Nam ,Nam,Không,Không,Vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Vô tính
6,Nam ,Nam,Không,Không,Vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Bán vô tính
7,Nam ,Nam,Không,Không,Vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Á tính vô tính
8,Nam ,Nam,Không,Không,Vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Bán vô tính
9,Nam ,Nam,Không,Không,Vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Á ái vô tính
10,Nam ,Nam,Không,Không,Vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Á ái vô tính
11,Nam ,Nam,Không,Không,Vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Á ái bán vô tính
12,Nam ,Nam,Không,Không,Vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,á tính 
13,Nam ,Nam,Không,Không,Vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Á ái bán vô tính
14,Nam ,Nam,Không,Không,Vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Á ái vô tính
15,Nam ,Nam,Không,Không,Vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Á ái vô tính
16,Nam ,Nam,Không,Không,Vô tính,Có,Không ,Không,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Á ái bán vô tính
17,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Bán vô ái á tính
18,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Bán vô ái á tính
19,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Bán vô ái vô tính
20,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Bán vô ái vô tính
21,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Bán vô tính
22,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Vô ái á tính
23,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Vô ái á tính
24,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Vô ái bán vô tính
25,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Vô tính
26,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Vô ái bán vô tính
27,Nam ,Nam,Không,Không,Vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Vô ái á tính
28,Nam ,Nam,Không,Không,Vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Vô ái á tính
29,Nam ,Nam,Không,Không,Vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Vô ái bán vô tính
30,Nam ,Nam,Không,Không,Vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Vô tính
31,Nam ,Nam,Không,Không,Vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Vô ái bán vô tính
32,Nam ,Nam,Không,Không,Vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Bán vô ái á tính
33,Nam ,Nam,Không,Không,Vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Bán vô ái á tính
34,Nam ,Nam,Không,Không,Vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Bán vô tính
35,Nam ,Nam,Không,Không,Vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Bán vô ái vô tính
36,Nam ,Nam,Không,Không,Vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Bán vô ái vô tính
37,Nam ,Nam,Không,Không,Vô tính,Có,Không,Có,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Á ái vô tính
38,Nam ,Nam,Không,Không,Vô tính,Có,Không,Không,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Á ái vô tính
39,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái vô tính
40,Nam ,Nam,Không,Không,Vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Vô tính
41,Nam ,Nam,Không,Không,Vô tính,Có,Có,Không,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Vô tính
42,Nam ,Nam,Không,Không,Vô tính,Có,Có,Có,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái vô tính
43,Nam ,Nam,Không,Không,Vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Vô ái á tính
44,Nam ,Nam,Không,Không,Vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Vô ái á tính
45,Nam ,Nam,Không,Không,Vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Vô ái bán vô tính
46,Nam ,Nam,Không,Không,Vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Vô tính
47,Nam ,Nam,Không,Không,Vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Vô tính
48,Nam ,Nam,Không,Không,Vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Vô ái bán vô tính
49,Nam ,Nam,Không,Không,Vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Vô tính
50,Nam ,Nam,Không,Nữ,Vô ái dị tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái dị tính
51,Nam ,Nam,Không,Nữ,Vô ái dị tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái dị tính
52,Nam ,Nam,Không,Nữ,Vô ái dị tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái dị tính
53,Nam ,Nam,Không,Nữ,Vô ái dị tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái dị tính
54,Nam ,Nam,Không,Nữ,Vô ái dị tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái dị tính
55,Nam ,Nam,Không,Nữ,Vô ái dị tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái dị tính
56,Nam ,Nam,Không,Nữ,Vô ái dị tính,không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái dị tính
57,Nam ,Nam,Không,Nam,Vô ái đồng tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái đồng tính
58,Nam ,Nam,Không,Nam,Vô ái đồng tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái đồng tính
59,Nam ,Nam,Không,Nam,Vô ái đồng tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái đồng tính
60,Nam ,Nam,Không,Nam,Vô ái đồng tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái đồng tính
61,Nam ,Nam,Không,Nam,Vô ái đồng tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái đồng tính
62,Nam ,Nam,Không,Nam,Vô ái đồng tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái đồng tính
63,Nam ,Nam,Không,Nam,Vô ái đồng tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái đồng tính
64,Nam ,Nam,Không,Nam và Nữ,Vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
65,Nam ,Nam,Không,Nam và Nữ,Vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
66,Nam ,Nam,Không,Nam và Nữ,Vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
67,Nam ,Nam,Không,Nam và Nữ,Vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
68,Nam ,Nam,Không,Nam và Nữ,Vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
69,Nam ,Nam,Không,Nam và Nữ,Vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
70,Nam ,Nam,Không,Nam và Nữ,Vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
71,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
72,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
73,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
74,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
75,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
76,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
77,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
78,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
79,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
80,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
81,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
82,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
83,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
84,Nam ,Nam,Không,Nam và giới khác (2 giới),Vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Vô ái song tính
85,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
86,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Á ái song tính
87,Nam ,Nam,Không,Nữ và giới khác (2 giới),Vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bán vô ái song tính
